k       nbComp          temps           temps_cumulé            PourcentageExploration
85      2               8e-05           8e-05           -nan
84      2               6.9e-05         0.000149                -nan
83      2               6.6e-05         0.000215                -nan
82      2               6.3e-05         0.000278                -nan
81      2               6.3e-05         0.000341                -nan
80      2               6.1e-05         0.000402                0
79      2               6e-05           0.000462                0
78      2               5.6e-05         0.000518                0
77      2               5.4e-05         0.000572                0
76      2               5.2e-05         0.000624                0
75      2               5.2e-05         0.000676                0
74      2               5.1e-05         0.000727                0
73      2               5.1e-05         0.000778                0
72      2               5e-05           0.000828                0
71      62              5.1e-05         0.000879                0
70      62              5.2e-05         0.000931                0
69      62              5.1e-05         0.000982                0
68      62              5.6e-05         0.001038                0
67      62              4.9e-05         0.001087                0
66      62              4.7e-05         0.001134                0
65      62              4.8e-05         0.001182                0
64      62              4.7e-05         0.001229                0
63      62              4.7e-05         0.001276                0
62      62              4.6e-05         0.001322                0
61      62              4.6e-05         0.001368                0
60      62              4.5e-05         0.001413                0
59      62              4.6e-05         0.001459                0
58      62              4.6e-05         0.001505                0
57      62              4.5e-05         0.00155         0
56      62              4.4e-05         0.001594                0
55      62              4.4e-05         0.001638                0
54      62              4.5e-05         0.001683                0
53      62              4.4e-05         0.001727                0
52      62              4.4e-05         0.001771                0
51      62              4.4e-05         0.001815                0
50      62              4.4e-05         0.001859                0
49      62              4.4e-05         0.001903                0
48      62              4.4e-05         0.001947                0
47      62              4.4e-05         0.001991                0
46      62              4.3e-05         0.002034                0
45      62              4.3e-05         0.002077                0
44      62              4.3e-05         0.00212         0
43      62              4.2e-05         0.002162                0
42      62              4.3e-05         0.002205                0
41      64              4.4e-05         0.002249                5.01421e-15
40      65              4.5e-05         0.002294                1.12514e-14
39      66              4.5e-05         0.002339                1.98306e-14
38      67              4.6e-05         0.002385                3.25425e-14
37      68              4.8e-05         0.002433                1.29535e-15
36      69              4.9e-05         0.002482                2.10057e-15
35      70              5e-05           0.002532                3.47177e-15
34      71              5.1e-05         0.002583                5.89492e-15
33      208             0.000112                0.002695                1.42492e-14
32      203             0.000141                0.002836                4.40013e-14
31      266             0.000188                0.003024                1.11825e-13
30      2320            0.00149         0.004514                4.3995e-13
29      4422            0.002757                0.007271                1.61917e-12
28      6598            0.004253                0.011524                1.24207e-12
27      8841            0.005555                0.017079                3.51971e-12
26      11188           0.006503                0.023582                9.89397e-12
25      13568           0.008267                0.031849                2.82343e-11
24      78692           0.033738                0.065587                8.94998e-12
23      138585          0.050627                0.116214                4.3353e-11
22      278010          0.065564                0.181778                2.25385e-11
21      356546          0.085924                0.267702                8.90235e-11
20      438000          0.105471                0.373173                2.76263e-11
19      1015528         0.248722                0.621895                6.79124e-11
18      1109897         0.262506                0.884401                1.22856e-10
17      1201272         0.283262                1.16766         1.69618e-10
16      1295854         0.305087                1.47275         7.62768e-10
15      1393720         0.345425                1.81817         3.68236e-09
14      1494948         0.354947                2.17312         1.91632e-08
13      1599617         0.402239                2.57536         1.07999e-07
12      42572076                9.78497         12.3603         1.53546e-05
11      1669406996              371.017         383.378         0.00373364
