k nbComp temps
85 5908 0.000167
84 5908 0.000155
83 5908 0.000151
82 5908 0.000163
81 5908 0.000173
80 5908 0.000171
79 5908 0.000171
78 5908 0.000171
77 5908 0.00017
76 5916 0.00017
75 5924 0.000171
74 5932 0.000172
73 5940 0.000171
72 5948 0.000172
71 5956 0.000174
70 5964 0.000173
69 5972 0.000174
68 5980 0.000174
67 5988 0.000177
66 5996 0.000175
65 6004 0.000191
64 6012 0.000176
63 6020 0.000175
62 7999 0.000254
61 9986 0.000324
60 10716 0.000359
59 11643 0.000395
58 12578 0.000431
57 13521 0.000477
56 14472 0.00051
55 15431 0.00056
54 45432 0.001534
53 76408 0.002612
52 411769 0.013451
51 444719 0.014108
50 478668 0.014398
49 513036 0.015251
48 548975 0.015481
47 585695 0.016776
46 623308 0.016426
45 662322 0.018128
44 702383 0.018382
43 743499 0.020348
42 785678 0.020987
41 828928 0.021696
40 873257 0.024024
39 1014890 0.030843
38 1161396 0.037652
37 1314321 0.047655
36 1473135 0.055751
35 1637860 0.065223
34 1808953 0.073091
33 27940735 1.17789
32 30813974 1.25655
31 32720246 1.4222
30 57378287 3.11635
29 82827992 5.14809
28 110442389 7.36918
27 140539000 9.8474
26 172908130 11.6255
25 203312197 15.5717
24 687447927 364.087


