k nbComp temps
85 5908 0.000189
84 5908 0.000161
83 5908 0.000156
82 5908 0.000169
81 5908 0.000176
80 5908 0.000176
79 5908 0.000175
78 5908 0.000177
77 5908 0.000174
76 7991 0.00022
75 10074 0.000261
74 12157 0.000295
73 14240 0.000318
72 16323 0.000358
71 18406 0.000395
70 20489 0.000436
69 22572 0.000474
68 24655 0.000516
67 26738 0.000556
66 28821 0.000596
65 30904 0.000631
64 32987 0.000673
63 35070 0.000712
62 88108 0.001722
61 143229 0.002766
60 245329 0.005336
59 302888 0.008722
58 362463 0.006687
57 424054 0.007248
56 487661 0.00812
55 553284 0.008854
54 1733364 0.028503
53 2983099 0.043371
52 13254336 0.17668
51 14628557 0.197421
50 16078135 0.215792
49 17602668 0.233148
48 19208894 0.253782
47 20896525 0.275782
46 22667558 0.299836
45 24524047 0.323204
44 26467989 0.347823
43 28501400 0.375106
42 30626296 0.403007
41 32844693 0.431808
40 35158607 0.462048
39 75909766 1.00141
38 119171921 1.56499
37 165046637 2.16468
36 213637495 2.80173
35 265042208 3.47694
34 319382186 4.19567
33 224549049 58.0566
32 648847859 62.9004
31 3632059967 42.1273
30 417507601 101.883
29 1692635618 162.57
28 3303650857 226.808
