k nbComp temps
85 5908 0.0002
84 5908 0.000188
83 5908 0.000186
82 5908 0.000184
81 5908 0.000184
80 5908 0.000183
79 5908 0.000182
78 5908 0.000181
77 5908 0.00018
76 5911 0.00019
75 5912 0.000183
74 5913 0.000184
73 5914 0.000182
72 5915 0.000182
71 5916 0.000184
70 5917 0.000183
69 5918 0.000186
68 5919 0.000186
67 5920 0.000187
66 5921 0.000186
65 5922 0.000186
64 5923 0.000187
63 5924 0.000188
62 10744 0.000345
61 5988 0.000216
60 6377 0.000259
59 6340 0.000286
58 6400 0.000305
57 6461 0.000324
56 6523 0.000333
55 6586 0.000357
54 13940 0.000892
53 9748 0.001099
52 33733 0.004866
51 32856 0.005226
50 35029 0.00542
49 37281 0.005745
48 39613 0.006216
47 42026 0.006178
46 44521 0.006303
45 47099 0.006919
44 49761 0.0068
43 52508 0.007534
42 55341 0.007619
41 58261 0.007926
40 61269 0.00825
39 132639 0.017565
38 195752 0.02413
37 267855 0.03192
36 343328 0.037531
35 422264 0.046962
34 509500 0.054622
33 18383180 1.31274
32 21619777 1.47354
31 24574280 1.65536
30 64922825 4.20757
29 86582852 6.34116
28 121343442 9.01208
27 156748762 11.7555
26 194529726 14.082
25 234807646 17.7558
24 2813969604 456.258
