k nbComp temps
999 475000 0.005168
998 475000 0.004985
997 475000 0.005409
996 475000 0.004956
995 475000 0.005163
994 475000 0.005218
993 475000 0.005167
992 475000 0.004973
991 475000 0.005018
990 475000 0.004927
989 475000 0.00492
988 475000 0.004943
987 475000 0.005208
986 475000 0.005545
985 475000 0.005283
984 475000 0.00518
983 475000 0.004946
982 475000 0.004945
981 475000 0.004998
980 475000 0.004981
979 475000 0.004981
978 475000 0.005262
977 475000 0.005371
976 475000 0.005015
975 475000 0.005001
974 475000 0.005186
973 475000 0.00507
972 475000 0.004971
971 475000 0.004933
970 475000 0.004979
969 475000 0.005381
968 475000 0.005423
967 475000 0.005035
966 475000 0.004924
965 475000 0.005242
964 475000 0.005195
963 475000 0.005046
962 475000 0.004902
961 475000 0.005081
960 475000 0.005457
959 475000 0.004977
958 475000 0.004916
957 475000 0.005159
956 475000 0.005063
955 475000 0.004914
954 475000 0.004971
953 475000 0.004932
952 475000 0.005196
951 475000 0.005345
950 475000 0.004973
949 475000 0.004876
948 475000 0.004941
947 475000 0.004904
946 475000 0.004938
945 475000 0.004959
944 475000 0.004887
943 475000 0.004994
942 475000 0.004915
941 475000 0.004883
940 475000 0.004917
939 475000 0.004911
938 475000 0.004904
937 475000 0.004939
936 475000 0.00489
935 475000 0.004936
934 475000 0.00491
933 475000 0.004927
932 475000 0.004901
931 475000 0.004877
930 475000 0.004892
929 475000 0.004871
928 475000 0.004933
927 475000 0.004884
926 475000 0.004914
925 475000 0.004925
924 475000 0.004911
923 475000 0.004909
922 475000 0.004915
921 475000 0.004914
920 475000 0.004946
919 475000 0.004902
918 475000 0.004881
917 475000 0.004897
916 475000 0.004894
915 475000 0.004915
914 475000 0.004918
913 475000 0.004904
912 475000 0.004904
911 475000 0.004913
910 475000 0.004897
909 475000 0.004894
908 475000 0.005309
907 475000 0.005335
906 475000 0.004956
905 475000 0.004922
904 475000 0.004912
903 475000 0.004944
902 475000 0.004898
901 475000 0.004935
900 475000 0.00491
899 475000 0.005085
898 475000 0.005275
897 475000 0.005289
896 475000 0.004959
895 475000 0.00492
894 475000 0.004912
893 475000 0.004914
892 475000 0.004915
891 475000 0.004903
890 475000 0.005212
889 475000 0.005399
888 475000 0.004981
887 475000 0.004899
886 475000 0.004916
885 475000 0.00488
884 475000 0.004965
883 475000 0.004924
882 475000 0.004877
881 475000 0.005371
880 475000 0.005443
879 475000 0.004988
878 475000 0.004923
877 475000 0.004944
876 475000 0.004934
875 475000 0.004885
874 475000 0.004911
873 475000 0.004866
872 475000 0.005468
871 475000 0.005182
870 475000 0.004955
869 475000 0.004906
868 475000 0.004934
867 475000 0.004932
866 475000 0.004878
865 475000 0.004877
864 475000 0.004868
863 475000 0.005409
862 475000 0.005227
861 475000 0.005001
860 475000 0.004932
859 475000 0.004883
858 475000 0.004909
857 475000 0.004885
856 475000 0.004879
855 475000 0.004886
854 475000 0.005434
853 475000 0.005221
852 475000 0.004961
851 475000 0.004927
850 475000 0.004926
849 475000 0.004921
848 475000 0.004883
847 475000 0.004881
846 475000 0.004882
845 475000 0.005449
844 475000 0.005234
843 475000 0.004983
842 475000 0.004888
841 475000 0.004892
840 475000 0.004893
839 475000 0.004886
838 475000 0.00488
837 475000 0.00488
836 475000 0.005422
835 475000 0.005224
834 475000 0.004986
833 475000 0.004953
832 475000 0.004884
831 475000 0.004895
830 475000 0.004862
829 475000 0.004878
828 475000 0.004866
827 475000 0.00543
826 475000 0.005213
825 475000 0.005006
824 475000 0.004904
823 475000 0.004926
822 475000 0.004905
821 475000 0.004884
820 475000 0.004892
819 475000 0.004878
818 475000 0.005411
817 475000 0.00527
816 475000 0.004979
815 475000 0.004894
814 475000 0.00491
813 475000 0.004948
812 475000 0.004877
811 475000 0.004892
810 475000 0.004957
809 475000 0.005342
808 475000 0.005452
807 475000 0.005192
806 475000 0.004923
805 475000 0.004936
804 475000 0.004887
803 475000 0.004883
802 475000 0.004912
801 475000 0.004884
800 475000 0.005104
799 475000 0.005393
798 475000 0.004994
797 475000 0.004921
796 475000 0.00495
795 475000 0.004861
794 475000 0.004909
793 475000 0.004888
792 475000 0.004886
791 475000 0.005281
790 475000 0.005383
789 475000 0.004953
788 475000 0.004924
787 475000 0.004881
786 475000 0.004895
785 475000 0.00489
784 475000 0.004871
783 475000 0.004863
782 475000 0.00545
781 475000 0.005246
780 475000 0.004973
779 475000 0.004891
778 475000 0.004895
777 475000 0.00491
776 475000 0.004885
775 475000 0.004883
774 475000 0.004886
773 475000 0.005419
772 475000 0.005208
771 475000 0.005013
770 475000 0.004909
769 475000 0.004891
768 475000 0.004904
767 475000 0.004865
766 475000 0.004864
765 475000 0.004889
764 475000 0.005402
763 475000 0.005281
762 475000 0.004991
761 475000 0.004922
