k nbComp temps
999 475000 0.00634
998 475000 0.005145
997 475000 0.005169
996 475000 0.006121
995 475000 0.005459
994 475000 0.005249
993 475000 0.005141
992 475000 0.005139
991 475000 0.005139
990 475000 0.005172
989 475000 0.00515
988 475000 0.005616
987 475000 0.007026
986 475000 0.005221
985 475000 0.005287
984 475000 0.00514
983 475000 0.00514
982 475000 0.005129
981 475000 0.005134
980 475000 0.00512
979 475000 0.005975
978 475000 0.006694
977 475000 0.00543
976 475000 0.00515
975 475000 0.005146
974 475000 0.00512
973 475000 0.006761
972 475000 0.006983
971 475000 0.006644
970 475000 0.005322
969 475000 0.005194
968 475000 0.005189
967 475000 0.005144
966 475000 0.005121
965 475000 0.005131
964 475000 0.005149
963 475000 0.005117
962 475000 0.005241
961 475000 0.005265
960 475000 0.00575
959 475000 0.005708
958 475000 0.00518
957 475000 0.005162
956 475000 0.005175
955 475000 0.005212
954 475000 0.005146
953 475000 0.005596
952 475000 0.0061
951 475000 0.005291
950 475000 0.00558
949 475000 0.005254
948 475000 0.005146
947 475000 0.005149
946 475000 0.00516
945 475000 0.005171
944 475000 0.00721
943 475000 0.005644
942 475000 0.005196
941 475000 0.00527
940 475000 0.005139
939 475000 0.005129
938 475000 0.005246
937 475000 0.00514
936 475000 0.005251
935 475000 0.005741
934 475000 0.005524
933 475000 0.005199
932 475000 0.005593
931 475000 0.005155
930 475000 0.005157
929 475000 0.005541
928 475000 0.005145
927 475000 0.006333
926 475000 0.0067
925 475000 0.005159
924 475000 0.005173
923 475000 0.005271
922 475000 0.005125
921 475000 0.005173
920 475000 0.005156
919 475000 0.005129
918 475000 0.005318
917 475000 0.006072
916 475000 0.005637
915 475000 0.005166
914 475000 0.005126
913 475000 0.005195
912 475000 0.00516
911 475000 0.005145
910 475000 0.00569
909 475000 0.006973
908 475000 0.005176
907 475000 0.005157
906 475000 0.005136
905 475000 0.005154
904 475000 0.005145
903 475000 0.005147
902 475000 0.005153
901 475000 0.005144
900 475000 0.005152
899 475000 0.005129
898 475000 0.005147
897 475000 0.005152
896 475000 0.005147
895 475000 0.005173
894 475000 0.005165
893 475000 0.005153
892 475000 0.00512
891 475000 0.005128
890 475000 0.005129
889 475000 0.005121
888 475000 0.005156
887 475000 0.005144
886 475000 0.005139
885 475000 0.00514
884 475000 0.005197
883 475000 0.005134
882 475000 0.005139
881 475000 0.005131
880 475000 0.005161
879 475000 0.005144
878 475000 0.00513
877 475000 0.005152
876 475000 0.005146
875 475000 0.005143
874 475000 0.005144
873 475000 0.005156
872 475000 0.005145
871 475000 0.005128
870 475000 0.00514
869 475000 0.006411
868 475000 0.005599
867 475000 0.005189
866 475000 0.005155
865 475000 0.005156
864 475000 0.005152
