k nbComp temps
999 475000 0.008314
998 475000 0.008302
997 475000 0.008311
996 475000 0.00831
995 475000 0.008852
994 475000 0.008576
993 475000 0.0083
992 475000 0.008312
991 475000 0.008298
990 475000 0.008859
989 475000 0.008455
988 475000 0.008404
987 475000 0.008326
986 475000 0.008294
985 475000 0.008714
984 475000 0.008428
983 475000 0.008299
982 475000 0.008302
981 475000 0.008296
980 475000 0.00879
979 475000 0.008425
978 475000 0.008314
977 475000 0.008315
976 475000 0.008307
975 475000 0.008731
974 475000 0.008435
973 475000 0.008306
972 475000 0.008307
971 475000 0.008959
970 475000 0.009904
969 475000 0.009551
968 475000 0.008653
967 475000 0.008909
966 475000 0.008604
965 475000 0.008315
964 475000 0.008674
963 475000 0.008981
962 475000 0.008608
961 475000 0.008895
960 475000 0.009162
959 475000 0.008436
958 475000 0.008658
957 475000 0.008522
956 475000 0.008391
955 475000 0.00856
954 475000 0.008455
953 475000 0.009722
952 475000 0.008447
951 475000 0.008531
950 475000 0.008383
949 475000 0.00872
948 475000 0.009905
947 475000 0.008763
946 475000 0.008494
945 475000 0.008417
944 475000 0.008587
943 475000 0.009623
942 475000 0.008605
941 475000 0.008517
940 475000 0.008303
939 475000 0.00834
938 475000 0.008553
937 475000 0.008471
936 475000 0.008338
935 475000 0.008272
934 475000 0.0083
933 475000 0.0083
932 475000 0.008312
931 475000 0.008322
930 475000 0.008338
929 475000 0.008295
928 475000 0.008377
927 475000 0.008302
926 475000 0.00832
925 475000 0.00832
924 475000 0.008309
923 475000 0.008308
922 475000 0.010452
921 475000 0.008412
920 475000 0.008453
919 475000 0.008311
918 475000 0.008323
917 475000 0.008336
916 475000 0.008501
915 475000 0.009577
914 475000 0.008496
913 475000 0.00832
912 475000 0.008367
911 475000 0.008426
910 475000 0.010509
909 475000 0.011043
908 475000 0.008664
907 475000 0.009618
906 475000 0.008499
905 475000 0.008287
904 475000 0.008328
903 475000 0.008342
902 475000 0.008767
901 475000 0.00857
900 475000 0.008543
899 475000 0.008395
898 475000 0.008436
897 475000 0.009445
896 475000 0.008747
895 475000 0.008339
894 475000 0.008344
893 475000 0.008296
892 475000 0.009119
891 475000 0.008791
890 475000 0.008501
889 475000 0.008351
888 475000 0.008298
887 475000 0.008757
886 475000 0.008985
885 475000 0.00841
884 475000 0.008307
883 475000 0.008317
882 475000 0.008394
881 475000 0.009472
880 475000 0.008363
879 475000 0.008336
878 475000 0.008307
877 475000 0.008302
876 475000 0.009064
875 475000 0.008826
874 475000 0.008374
873 475000 0.008326
872 475000 0.008305
871 475000 0.008772
870 475000 0.009123
869 475000 0.008358
868 475000 0.008303
867 475000 0.008313
866 475000 0.008363
865 475000 0.009521
864 475000 0.008575
863 475000 0.008348
862 475000 0.008302
861 475000 0.008297
860 475000 0.009051
859 475000 0.008857
858 475000 0.008332
857 475000 0.008308
856 475000 0.0083
855 475000 0.008766
854 475000 0.009094
853 475000 0.008633
852 475000 0.008326
851 475000 0.008298
850 475000 0.008368
849 475000 0.009437
848 475000 0.008381
847 475000 0.00832
846 475000 0.008299
845 475000 0.008308
844 475000 0.009075
843 475000 0.008835
842 475000 0.008359
841 475000 0.008319
840 475000 0.008304
839 475000 0.008767
838 475000 0.009164
837 475000 0.008347
836 475000 0.008325
835 475000 0.008299
834 475000 0.008373
833 475000 0.010381
832 475000 0.008775
831 475000 0.008311
830 475000 0.00829
829 475000 0.008292
828 475000 0.008365
827 475000 0.009571
826 475000 0.008386
825 475000 0.008287
824 475000 0.008315
823 475000 0.00835
822 475000 0.009618
821 475000 0.008427
820 475000 0.008295
819 475000 0.008279
818 475000 0.008314
817 475000 0.009541
816 475000 0.008369
815 475000 0.008284
814 475000 0.008292
813 475000 0.008291
812 475000 0.008841
811 475000 0.009289
810 475000 0.00833
809 475000 0.0083
808 475000 0.008296
807 475000 0.008338
806 475000 0.008491
805 475000 0.008355
804 475000 0.008305
803 475000 0.008296
802 475000 0.008309
801 475000 0.009387
800 475000 0.008501
799 475000 0.008334
798 475000 0.008306
797 475000 0.0083
796 475000 0.009019
795 475000 0.008884
794 475000 0.008345
793 475000 0.008363
792 475000 0.008323
791 475000 0.008761
790 475000 0.009142
789 475000 0.008387
788 475000 0.008312
787 475000 0.008306
786 475000 0.008375
785 475000 0.009447
784 475000 0.008403
783 475000 0.008315
782 475000 0.008311
781 475000 0.008298
780 475000 0.009067
779 475000 0.008806
778 475000 0.008364
777 475000 0.008317
776 475000 0.008308
775 475000 0.008743
774 475000 0.009147
773 475000 0.008349
772 475000 0.008306
771 475000 0.008307
770 475000 0.008373
769 475000 0.009437
768 475000 0.008582
767 475000 0.008343
766 475000 0.008308
765 475000 0.008292
764 475000 0.00904
763 475000 0.008852
762 475000 0.008352
761 475000 0.008307
760 475000 0.008298
759 475000 0.008751
758 475000 0.009051
757 475000 0.008505
756 475000 0.008324
755 475000 0.008309
754 475000 0.008365
753 475000 0.009472
752 475000 0.00836
751 475000 0.008313
750 475000 0.008293
749 475000 0.008297
748 475000 0.009036
747 475000 0.008833
746 475000 0.008363
745 475000 0.008328
744 475000 0.00831
743 475000 0.008775
742 475000 0.009127
741 475000 0.008357
740 475000 0.008298
739 475000 0.008291
738 475000 0.008535
737 475000 0.009418
736 475000 0.008612
735 475000 0.008327
734 475000 0.008914
733 475000 0.011034
732 475000 0.00983
731 475000 0.008588
730 475000 0.008544
729 475000 0.008325
728 475000 0.008301
727 475000 0.008763
726 475000 0.010208
725 475000 0.008447
724 475000 0.008311
723 475000 0.008275
722 475000 0.008358
721 475000 0.009541
720 475000 0.008381
719 475000 0.008282
718 475000 0.008293
717 475000 0.008297
