k nbComp temps
999 475000 0.006189
998 475000 0.005151
997 475000 0.005154
996 475000 0.006133
995 475000 0.005379
994 475000 0.005301
993 475000 0.005173
992 475000 0.005159
991 475000 0.005154
990 475000 0.005172
989 475000 0.005152
988 475000 0.005621
987 475000 0.007007
986 475000 0.005186
985 475000 0.00526
984 475000 0.005126
983 475000 0.005132
982 475000 0.005235
981 475000 0.005144
980 475000 0.005141
979 475000 0.00528
978 475000 0.006352
977 475000 0.005329
976 475000 0.00521
975 475000 0.005143
974 475000 0.005141
973 475000 0.005131
972 475000 0.005136
971 475000 0.005227
970 475000 0.006219
969 475000 0.005203
968 475000 0.005285
967 475000 0.005139
966 475000 0.005126
965 475000 0.005139
964 475000 0.00514
963 475000 0.005125
962 475000 0.005586
961 475000 0.006185
960 475000 0.005391
959 475000 0.005317
958 475000 0.00543
957 475000 0.006014
956 475000 0.006857
955 475000 0.005525
954 475000 0.006796
953 475000 0.005303
952 475000 0.005381
951 475000 0.005423
950 475000 0.005229
949 475000 0.005311
948 475000 0.005408
947 475000 0.005309
946 475000 0.006063
945 475000 0.005579
944 475000 0.00519
943 475000 0.005143
942 475000 0.005238
941 475000 0.005177
940 475000 0.005151
939 475000 0.005206
938 475000 0.00554
937 475000 0.006406
936 475000 0.005763
935 475000 0.005312
934 475000 0.005151
933 475000 0.005758
932 475000 0.005246
931 475000 0.005139
930 475000 0.006343
929 475000 0.006416
928 475000 0.005176
927 475000 0.005306
926 475000 0.005145
925 475000 0.005147
924 475000 0.005364
923 475000 0.005383
922 475000 0.005269
921 475000 0.005742
920 475000 0.005203
919 475000 0.005161
918 475000 0.005479
917 475000 0.005279
916 475000 0.005156
915 475000 0.00551
914 475000 0.005159
913 475000 0.007001
912 475000 0.006367
911 475000 0.005172
910 475000 0.005142
909 475000 0.005152
908 475000 0.005155
907 475000 0.00513
906 475000 0.005153
905 475000 0.005254
904 475000 0.006233
903 475000 0.0052
902 475000 0.005263
901 475000 0.005143
900 475000 0.005187
