k nbComp temps
999 475000 0.004979
998 475000 0.004906
997 475000 0.004793
996 475000 0.004968
995 475000 0.005153
994 475000 0.004802
993 475000 0.004789
992 475000 0.004804
991 475000 0.004773
990 475000 0.004773
989 475000 0.004768
988 475000 0.004777
987 475000 0.005175
986 475000 0.005244
985 475000 0.004892
984 475000 0.004803
983 475000 0.004815
982 475000 0.004772
981 475000 0.004793
980 475000 0.004764
979 475000 0.00477
978 475000 0.0052
977 475000 0.00534
976 475000 0.004881
975 475000 0.004787
974 475000 0.004777
973 475000 0.004786
972 475000 0.004816
971 475000 0.004778
970 475000 0.004768
969 475000 0.005192
968 475000 0.005284
967 475000 0.004892
966 475000 0.004816
965 475000 0.004789
964 475000 0.004788
963 475000 0.004812
962 475000 0.004775
961 475000 0.004791
960 475000 0.005249
959 475000 0.005302
958 475000 0.004885
957 475000 0.004787
956 475000 0.00478
955 475000 0.004776
954 475000 0.004783
953 475000 0.004767
952 475000 0.004772
951 475000 0.005191
950 475000 0.005296
949 475000 0.00491
948 475000 0.00478
947 475000 0.004767
946 475000 0.004763
945 475000 0.004797
944 475000 0.004784
943 475000 0.004771
942 475000 0.005196
941 475000 0.005291
940 475000 0.004889
939 475000 0.004794
938 475000 0.004769
937 475000 0.004777
936 475000 0.004803
935 475000 0.004789
934 475000 0.004766
933 475000 0.00519
932 475000 0.005289
931 475000 0.004912
930 475000 0.005065
929 475000 0.005047
928 475000 0.005035
927 475000 0.004811
926 475000 0.00479
925 475000 0.004819
924 475000 0.005312
923 475000 0.0051
922 475000 0.004879
921 475000 0.004794
920 475000 0.004774
919 475000 0.004791
918 475000 0.00481
917 475000 0.004761
916 475000 0.004772
915 475000 0.00519
914 475000 0.005253
913 475000 0.004858
912 475000 0.004801
911 475000 0.004764
910 475000 0.00478
909 475000 0.004806
908 475000 0.004792
907 475000 0.004787
906 475000 0.00517
905 475000 0.005263
904 475000 0.004863
903 475000 0.004793
902 475000 0.004784
901 475000 0.004764
900 475000 0.004783
899 475000 0.004784
898 475000 0.004765
897 475000 0.005186
896 475000 0.005326
895 475000 0.004865
894 475000 0.004795
893 475000 0.004798
892 475000 0.004762
891 475000 0.004803
890 475000 0.004783
889 475000 0.004782
888 475000 0.005205
887 475000 0.005297
886 475000 0.004844
885 475000 0.004802
884 475000 0.004783
883 475000 0.004782
882 475000 0.004797
881 475000 0.004826
880 475000 0.004809
879 475000 0.00523
878 475000 0.005284
877 475000 0.004883
876 475000 0.004776
875 475000 0.004775
874 475000 0.004765
873 475000 0.004793
872 475000 0.004763
871 475000 0.004772
870 475000 0.005174
869 475000 0.005251
868 475000 0.004905
867 475000 0.004812
866 475000 0.00481
865 475000 0.004778
864 475000 0.004785
863 475000 0.004788
862 475000 0.004806
