k       nbComp          temps           temps_cumulé            PourcentageExploration
999     475000          0.004909                0.004909                -nan
998     475000          0.005065                0.009974                -nan
997     475000          0.004819                0.014793                -nan
996     475000          0.004813                0.019606                -nan
995     475000          0.004837                0.024443                -nan
994     475000          0.004811                0.029254                -nan
993     475000          0.00487         0.034124                -nan
992     475000          0.004908                0.039032                -nan
991     475000          0.005133                0.044165                -nan
990     475000          0.004978                0.049143                -nan
989     475000          0.004924                0.054067                -nan
988     475000          0.004838                0.058905                -nan
987     475000          0.004808                0.063713                -nan
986     475000          0.004882                0.068595                -nan
985     475000          0.004921                0.073516                -nan
984     475000          0.004841                0.078357                -nan
983     475000          0.004808                0.083165                -nan
982     475000          0.005405                0.08857         -nan
981     475000          0.005007                0.093577                -nan
980     475000          0.004914                0.098491                -nan
979     475000          0.004797                0.103288                -nan
978     475000          0.004878                0.108166                -nan
977     475000          0.005186                0.113352                -nan
976     475000          0.005192                0.118544                -nan
975     475000          0.005086                0.12363         -nan
974     475000          0.004969                0.128599                -nan
973     475000          0.005384                0.133983                -nan
972     475000          0.005131                0.139114                -nan
971     475000          0.004912                0.144026                -nan
970     475000          0.004878                0.148904                -nan
969     475000          0.00509         0.153994                -nan
968     475000          0.005077                0.159071                -nan
967     475000          0.004892                0.163963                -nan
966     475000          0.004997                0.16896         -nan
965     475000          0.005208                0.174168                -nan
964     475000          0.005258                0.179426                -nan
963     475000          0.00495         0.184376                -nan
962     475000          0.005099                0.189475                -nan
961     475000          0.004895                0.19437         -nan
960     475000          0.004838                0.199208                -nan
959     475000          0.005173                0.204381                -nan
958     475000          0.004972                0.209353                -nan
957     475000          0.004867                0.21422         -nan
956     475000          0.005343                0.219563                -nan
955     475000          0.00495         0.224513                -nan
954     475000          0.004869                0.229382                -nan
953     475000          0.00503         0.234412                -nan
952     475000          0.005102                0.239514                -nan
951     475000          0.005163                0.244677                -nan
950     475000          0.004936                0.249613                -nan
949     475000          0.005091                0.254704                -nan
948     475000          0.005138                0.259842                -nan
947     475000          0.005239                0.265081                -nan
946     475000          0.005119                0.2702          -nan
945     475000          0.005129                0.275329                -nan
944     475000          0.005013                0.280342                -nan
943     475000          0.005083                0.285425                -nan
942     475000          0.004876                0.290301                -nan
941     475000          0.004855                0.295156                -nan
940     475000          0.004985                0.300141                -nan
939     475000          0.005331                0.305472                -nan
938     475000          0.005228                0.3107          -nan
937     475000          0.004991                0.315691                -nan
936     475000          0.004903                0.320594                -nan
935     475000          0.004812                0.325406                -nan
934     475000          0.004909                0.330315                -nan
933     475000          0.005052                0.335367                -nan
932     475000          0.004798                0.340165                -nan
931     475000          0.004985                0.34515         -nan
930     475000          0.005274                0.350424                -nan
929     475000          0.004915                0.355339                -nan
928     475000          0.004806                0.360145                -nan
927     475000          0.004891                0.365036                -nan
926     475000          0.004947                0.369983                -nan
925     475000          0.004938                0.374921                -nan
924     475000          0.004993                0.379914                -nan
923     475000          0.004821                0.384735                -nan
922     475000          0.005245                0.38998         -nan
921     475000          0.005121                0.395101                -nan
920     475000          0.00482         0.399921                -nan
919     475000          0.00493         0.404851                -nan
918     475000          0.004915                0.409766                -nan
917     475000          0.004858                0.414624                -nan
916     475000          0.00481         0.419434                -nan
915     475000          0.004797                0.424231                -nan
914     475000          0.004916                0.429147                -nan
913     475000          0.005578                0.434725                -nan
912     475000          0.005086                0.439811                -nan
911     475000          0.004877                0.444688                -nan
910     475000          0.004815                0.449503                -nan
909     475000          0.004858                0.454361                -nan
908     475000          0.004814                0.459175                -nan
907     475000          0.004872                0.464047                -nan
906     475000          0.004939                0.468986                -nan
905     475000          0.004813                0.473799                -nan
904     475000          0.005335                0.479134                -nan
903     475000          0.004822                0.483956                -nan
902     475000          0.004884                0.48884         -nan
901     475000          0.004836                0.493676                -nan
900     475000          0.00486         0.498536                -nan
899     475000          0.004784                0.50332         -nan
898     475000          0.00496         0.50828         -nan
897     475000          0.00482         0.5131          -nan
896     475000          0.004847                0.517947                -nan
895     475000          0.005315                0.523262                -nan
894     475000          0.004849                0.528111                -nan
893     475000          0.004846                0.532957                -nan
892     475000          0.004907                0.537864                -nan
891     475000          0.004837                0.542701                -nan
890     475000          0.004837                0.547538                -nan
889     475000          0.004778                0.552316                -nan
888     475000          0.004823                0.557139                -nan
887     475000          0.004896                0.562035                -nan
886     475000          0.005303                0.567338                -nan
885     475000          0.005178                0.572516                -nan
884     475000          0.005037                0.577553                -nan
883     475000          0.004845                0.582398                -nan
882     475000          0.004797                0.587195                -nan
881     475000          0.004817                0.592012                -nan
880     475000          0.00485         0.596862                -nan
879     475000          0.004832                0.601694                -nan
878     475000          0.004833                0.606527                -nan
877     475000          0.005351                0.611878                -nan
876     475000          0.004871                0.616749                -nan
875     475000          0.004852                0.621601                -nan
874     475000          0.004829                0.62643         -nan
873     475000          0.004821                0.631251                -nan
872     475000          0.004809                0.63606         -nan
871     475000          0.004914                0.640974                -nan
870     475000          0.004889                0.645863                -nan
869     475000          0.004796                0.650659                -nan
868     475000          0.005307                0.655966                -nan
867     475000          0.004887                0.660853                -nan
866     475000          0.004892                0.665745                -nan
865     475000          0.004857                0.670602                -nan
864     475000          0.00478         0.675382                -nan
863     475000          0.004813                0.680195                -nan
862     475000          0.004773                0.684968                -nan
861     475000          0.004833                0.689801                -nan
860     475000          0.004885                0.694686                -nan
859     475000          0.005309                0.699995                -nan
858     475000          0.005161                0.705156                -nan
857     475000          0.005054                0.71021         -nan
856     475000          0.004853                0.715063                -nan
855     475000          0.004876                0.719939                -nan
854     475000          0.004821                0.72476         -nan
853     475000          0.004841                0.729601                -nan
852     475000          0.005           0.734601                -nan
851     475000          0.004844                0.739445                -nan
850     475000          0.00527         0.744715                -nan
849     475000          0.004848                0.749563                -nan
848     475000          0.004876                0.754439                -nan
847     475000          0.004822                0.759261                -nan
846     475000          0.004825                0.764086                -nan
845     475000          0.004812                0.768898                -nan
844     475000          0.005027                0.773925                -nan
843     475000          0.004828                0.778753                -nan
842     475000          0.004825                0.783578                -nan
841     475000          0.005337                0.788915                -nan
840     475000          0.004942                0.793857                -nan
839     475000          0.004846                0.798703                -nan
838     475000          0.004937                0.80364         -nan
837     475000          0.004805                0.808445                -nan
836     475000          0.004828                0.813273                -nan
