k nbComp temps
85 5908 0.000684
84 5908 0.000638
83 5908 0.000629
82 5908 0.000627
81 5908 0.000621
80 5908 0.000617
79 5908 0.00069
78 5908 0.000612
77 5908 0.00066
76 5912 0.000983
75 5916 0.001346
74 5920 0.001631
73 5924 0.001938
72 5928 0.002259
71 5932 0.002578
70 5936 0.00288
69 5940 0.003089
68 5944 0.003288
67 5948 0.003605
66 5952 0.003787
65 5956 0.003916
64 5960 0.004196
63 5964 0.005929
62 6740 0.010947
61 7458 0.017886
60 7270 0.025425
59 7469 0.028042
58 7713 0.030455
57 7838 0.032504
56 7972 0.03603
55 8239 0.04014
54 11238 0.120921
53 14316 0.210328
52 78404 0.90032
51 87323 0.977002
50 95419 1.05983
49 95857 1.14593
48 98398 1.23411
47 102843 1.32641
46 98457 1.4158
45 98298 1.51334
44 122851 1.60803
43 127998 1.70689
42 146788 1.80806
41 153451 1.93917
40 163722 2.02402
39 227797 4.33837
38 692746 6.61917
37 1021818 9.01482
36 1367034 11.4102
35 1607396 13.9639
34 1952439 16.467
33 31551911 280.025
32 34382699 319.587
