k nbComp temps
999 475000 0.007263
998 475000 0.005826
997 475000 0.005802
996 475000 0.007187
995 475000 0.005929
994 475000 0.005879
993 475000 0.005794
992 475000 0.005839
991 475000 0.005814
990 475000 0.005789
989 475000 0.006612
988 475000 0.00731
987 475000 0.005928
986 475000 0.005813
985 475000 0.005789
984 475000 0.00583
983 475000 0.005851
982 475000 0.00605
981 475000 0.007784
980 475000 0.005911
979 475000 0.005814
978 475000 0.005801
977 475000 0.00582
976 475000 0.006675
975 475000 0.006701
974 475000 0.007973
973 475000 0.00622
972 475000 0.006213
971 475000 0.006124
970 475000 0.005966
969 475000 0.005851
968 475000 0.006398
967 475000 0.007612
966 475000 0.005966
965 475000 0.005874
964 475000 0.006172
963 475000 0.005964
962 475000 0.005928
961 475000 0.00633
960 475000 0.007742
959 475000 0.006256
958 475000 0.00598
957 475000 0.005903
956 475000 0.00614
955 475000 0.00582
954 475000 0.006464
953 475000 0.007625
952 475000 0.005936
951 475000 0.006147
950 475000 0.005805
949 475000 0.006039
948 475000 0.006011
947 475000 0.006249
946 475000 0.00772
945 475000 0.005835
944 475000 0.006112
943 475000 0.005824
942 475000 0.005786
941 475000 0.005806
940 475000 0.005845
939 475000 0.007828
938 475000 0.005985
937 475000 0.005761
936 475000 0.005838
935 475000 0.006114
934 475000 0.006123
933 475000 0.006132
932 475000 0.006585
931 475000 0.007066
930 475000 0.005825
929 475000 0.005791
928 475000 0.006116
927 475000 0.006134
926 475000 0.005847
925 475000 0.006562
924 475000 0.00743
923 475000 0.005815
922 475000 0.00585
921 475000 0.005783
920 475000 0.0058
919 475000 0.005787
918 475000 0.005754
917 475000 0.00781
916 475000 0.005855
915 475000 0.005778
914 475000 0.005798
913 475000 0.005747
912 475000 0.005721
911 475000 0.005749
910 475000 0.006149
909 475000 0.007431
908 475000 0.005854
907 475000 0.005704
906 475000 0.005745
905 475000 0.005761
904 475000 0.005721
903 475000 0.005717
902 475000 0.007304
901 475000 0.006105
900 475000 0.005826
899 475000 0.005699
898 475000 0.005726
897 475000 0.005792
896 475000 0.005707
895 475000 0.006105
894 475000 0.007451
893 475000 0.005842
892 475000 0.005757
891 475000 0.005718
890 475000 0.005736
889 475000 0.005779
888 475000 0.005692
887 475000 0.007277
886 475000 0.006071
885 475000 0.0058
884 475000 0.005746
883 475000 0.005709
882 475000 0.005721
881 475000 0.005681
880 475000 0.00614
879 475000 0.007377
878 475000 0.005805
877 475000 0.005719
876 475000 0.00567
875 475000 0.005753
874 475000 0.005676
873 475000 0.00567
872 475000 0.0073
871 475000 0.006185
870 475000 0.005761
869 475000 0.00566
868 475000 0.00567
867 475000 0.005714
866 475000 0.005658
865 475000 0.00594
864 475000 0.007591
863 475000 0.005812
862 475000 0.005807
861 475000 0.005782
860 475000 0.005748
859 475000 0.005751
858 475000 0.005694
857 475000 0.007282
856 475000 0.006101
855 475000 0.005757
854 475000 0.00568
853 475000 0.005725
852 475000 0.005682
851 475000 0.005676
850 475000 0.005959
849 475000 0.007587
848 475000 0.005764
847 475000 0.005731
846 475000 0.005654
845 475000 0.005708
844 475000 0.005654
843 475000 0.005641
842 475000 0.007241
841 475000 0.006227
840 475000 0.00572
839 475000 0.005677
838 475000 0.005645
837 475000 0.005719
836 475000 0.005705
835 475000 0.005964
834 475000 0.007477
833 475000 0.005747
832 475000 0.005665
831 475000 0.005698
830 475000 0.005653
829 475000 0.005641
828 475000 0.00566
827 475000 0.007259
826 475000 0.0062
825 475000 0.005792
824 475000 0.005674
823 475000 0.005695
822 475000 0.0057
821 475000 0.005653
820 475000 0.005973
819 475000 0.007459
818 475000 0.005728
817 475000 0.005683
