k nbComp temps
999 475000 0.004998
998 475000 0.004803
997 475000 0.004788
996 475000 0.00481
995 475000 0.004849
994 475000 0.004996
993 475000 0.004883
992 475000 0.004835
991 475000 0.004817
990 475000 0.004802
989 475000 0.004828
988 475000 0.004805
987 475000 0.004841
986 475000 0.00509
985 475000 0.005281
984 475000 0.004872
983 475000 0.004863
982 475000 0.004826
981 475000 0.004823
980 475000 0.004814
979 475000 0.004804
978 475000 0.004815
977 475000 0.005174
976 475000 0.005263
975 475000 0.004895
974 475000 0.004838
973 475000 0.004869
972 475000 0.00499
971 475000 0.005097
970 475000 0.005122
969 475000 0.005106
968 475000 0.005365
967 475000 0.00526
966 475000 0.0049
965 475000 0.005006
964 475000 0.004971
963 475000 0.004862
962 475000 0.004911
961 475000 0.004947
960 475000 0.005118
959 475000 0.005351
958 475000 0.005166
957 475000 0.005087
956 475000 0.004911
955 475000 0.005112
954 475000 0.004902
953 475000 0.004882
952 475000 0.005076
951 475000 0.005204
950 475000 0.005393
949 475000 0.005046
948 475000 0.005078
947 475000 0.005017
946 475000 0.004967
945 475000 0.004843
944 475000 0.004958
943 475000 0.004881
942 475000 0.005355
941 475000 0.005306
940 475000 0.004923
939 475000 0.005112
938 475000 0.004851
937 475000 0.004959
936 475000 0.004963
935 475000 0.004818
934 475000 0.005071
933 475000 0.005291
932 475000 0.00497
931 475000 0.004943
930 475000 0.004814
929 475000 0.005004
928 475000 0.005078
927 475000 0.005097
926 475000 0.005075
925 475000 0.005214
924 475000 0.005215
923 475000 0.004885
922 475000 0.004813
921 475000 0.005079
920 475000 0.004874
919 475000 0.004836
918 475000 0.00486
917 475000 0.004848
916 475000 0.005293
915 475000 0.00531
914 475000 0.004889
913 475000 0.004882
912 475000 0.004842
911 475000 0.004853
910 475000 0.004852
909 475000 0.004841
908 475000 0.004842
907 475000 0.004929
906 475000 0.0048
905 475000 0.00489
904 475000 0.00486
903 475000 0.004846
902 475000 0.004874
901 475000 0.004794
900 475000 0.004814
899 475000 0.004799
898 475000 0.004807
897 475000 0.004861
896 475000 0.00483
895 475000 0.00481
894 475000 0.004848
893 475000 0.004832
892 475000 0.004826
891 475000 0.004838
890 475000 0.004831
889 475000 0.004849
888 475000 0.004836
887 475000 0.004798
886 475000 0.004828
885 475000 0.004845
884 475000 0.004811
883 475000 0.004806
882 475000 0.004815
881 475000 0.004791
880 475000 0.004835
879 475000 0.004846
878 475000 0.00481
877 475000 0.004843
876 475000 0.004815
875 475000 0.004803
874 475000 0.004872
873 475000 0.004803
872 475000 0.004843
871 475000 0.004816
870 475000 0.00479
869 475000 0.004793
868 475000 0.004805
867 475000 0.00485
866 475000 0.004858
865 475000 0.004838
864 475000 0.004819
863 475000 0.004849
862 475000 0.004847
861 475000 0.005352
860 475000 0.005408
859 475000 0.00509
858 475000 0.004896
857 475000 0.004822
856 475000 0.004833
855 475000 0.004825
854 475000 0.004864
853 475000 0.004961
852 475000 0.004818
851 475000 0.004933
850 475000 0.005172
849 475000 0.005259
848 475000 0.004881
847 475000 0.004833
846 475000 0.00484
845 475000 0.004828
844 475000 0.00484
843 475000 0.004862
842 475000 0.005027
841 475000 0.005305
840 475000 0.005032
839 475000 0.004862
838 475000 0.004821
837 475000 0.004853
836 475000 0.004872
835 475000 0.004913
834 475000 0.005097
833 475000 0.005218
832 475000 0.005451
831 475000 0.004884
830 475000 0.00513
829 475000 0.004858
828 475000 0.004782
827 475000 0.004906
826 475000 0.004842
825 475000 0.004822
824 475000 0.005544
823 475000 0.005873
822 475000 0.004911
821 475000 0.004892
820 475000 0.004826
819 475000 0.004898
818 475000 0.00489
817 475000 0.004853
816 475000 0.004845
815 475000 0.00479
814 475000 0.006458
813 475000 0.005366
812 475000 0.004898
811 475000 0.004882
810 475000 0.004853
809 475000 0.004844
808 475000 0.004855
807 475000 0.004806
806 475000 0.004834
805 475000 0.005922
804 475000 0.006037
803 475000 0.005028
802 475000 0.004893
801 475000 0.004848
800 475000 0.005236
799 475000 0.004948
798 475000 0.004803
797 475000 0.005466
796 475000 0.006264
795 475000 0.005096
794 475000 0.005243
793 475000 0.004902
792 475000 0.004854
791 475000 0.00488
790 475000 0.005239
789 475000 0.004871
788 475000 0.0059
787 475000 0.005793
786 475000 0.004879
785 475000 0.004988
784 475000 0.004886
783 475000 0.004835
782 475000 0.004814
781 475000 0.004811
780 475000 0.004833
779 475000 0.005121
778 475000 0.006748
777 475000 0.005408
776 475000 0.004957
775 475000 0.004821
774 475000 0.004856
773 475000 0.004826
772 475000 0.005539
771 475000 0.004857
770 475000 0.005215
769 475000 0.00608
768 475000 0.005085
767 475000 0.004835
766 475000 0.00483
765 475000 0.004805
764 475000 0.004888
763 475000 0.004847
762 475000 0.004807
761 475000 0.005515
760 475000 0.005789
759 475000 0.004866
758 475000 0.00486
757 475000 0.004839
756 475000 0.004892
755 475000 0.004872
754 475000 0.00489
753 475000 0.004811
752 475000 0.005929
751 475000 0.005518
750 475000 0.004899
749 475000 0.004842
748 475000 0.004886
747 475000 0.004851
746 475000 0.004903
745 475000 0.004793
744 475000 0.004853
743 475000 0.006157
742 475000 0.005298
741 475000 0.004953
740 475000 0.004845
739 475000 0.004865
738 475000 0.004885
737 475000 0.004859
736 475000 0.004849
735 475000 0.004897
734 475000 0.006664
733 475000 0.00549
732 475000 0.005371
