k nbComp temps
85 5908 0.000701
84 5908 0.00067
83 5908 0.000647
82 5908 0.000646
81 5908 0.00063
80 5908 0.000606
79 5908 0.000597
78 5908 0.000597
77 5908 0.000584
76 11128 0.001127
75 16348 0.001643
74 21568 0.002125
73 26680 0.002619
72 31654 0.003043
71 36678 0.005333
70 41774 0.006019
69 46870 0.004754
68 51966 0.004563
67 58332 0.004865
66 62622 0.005125
65 66736 0.005395
64 71714 0.005589
63 79936 0.005981
62 198078 0.017048
61 316148 0.024253
60 567403 0.038153
59 694761 0.045571
58 826671 0.056599
57 962797 0.0624
56 1100977 0.070819
55 1239807 0.078938
54 1976621 0.208135
53 2739736 0.341359
52 12075187 1.47997
51 12902159 1.60384
50 13735388 1.727
49 14096436 1.84182
48 14183620 1.96026
47 14452832 2.07518
46 15570183 2.29924
45 15867633 2.43518
44 16786784 2.51875
43 18168915 2.64945
42 20048398 2.80848
41 21854858 2.8971
40 23638109 3.11125
39 42151944 6.19251
38 61084016 9.62583
37 79774745 12.5889
36 114894995 16.5094
35 132017483 19.9933
34 149651313 22.4462
33 2503926395 378.193
