k nbComp temps
85 5908 0.00027
84 5908 0.000224
83 5908 0.000218
82 5908 0.000219
81 5908 0.000216
80 5908 0.000242
79 5908 0.000223
78 5908 0.000219
77 5908 0.000216
76 5911 0.000219
75 5912 0.000216
74 5913 0.000219
73 5914 0.000217
72 5915 0.000243
71 5916 0.000218
70 5917 0.000231
69 5918 0.000221
68 5919 0.000222
67 5920 0.000225
66 5921 0.000224
65 5922 0.00022
64 5923 0.000226
63 5924 0.000231
62 10744 0.000389
61 10776 0.000405
60 11112 0.000464
59 11422 0.000468
58 11482 0.000483
57 11543 0.000512
56 11605 0.000521
55 11668 0.000553
54 37174 0.001557
53 62736 0.002591
52 248641 0.011121
51 263198 0.014575
50 277835 0.010885
49 293144 0.012089
48 307978 0.011317
47 323227 0.012964
46 338226 0.011207
45 353331 0.011631
44 368530 0.011536
43 383824 0.013856
42 399214 0.012095
41 414701 0.012242
40 430286 0.014283
39 647039 0.022058
38 879610 0.030442
37 1128100 0.044205
36 1392556 0.052397
35 1676571 0.071745
34 1973689 0.080807
33 36713680 1.42898
32 42205873 1.61746
31 61167236 2.15403
30 121191853 4.68157
29 184752264 7.49449
28 254872231 11.2016
27 327573561 14.6905
26 405361951 16.6636
25 488496969 21.2556
24 3925214706 529.095
