k nbComp temps
999 475000 0.006094
998 475000 0.004847
997 475000 0.004822
996 475000 0.005067
995 475000 0.005586
994 475000 0.004913
993 475000 0.004846
992 475000 0.004832
991 475000 0.004819
990 475000 0.00484
989 475000 0.004793
988 475000 0.004799
987 475000 0.005568
986 475000 0.005863
985 475000 0.004918
984 475000 0.004886
983 475000 0.00482
982 475000 0.004823
981 475000 0.004832
980 475000 0.004822
979 475000 0.004809
978 475000 0.005895
977 475000 0.005457
976 475000 0.005003
975 475000 0.004876
974 475000 0.004819
973 475000 0.004838
972 475000 0.004822
971 475000 0.004813
970 475000 0.004827
969 475000 0.006208
968 475000 0.005998
967 475000 0.00504
966 475000 0.005147
965 475000 0.005135
964 475000 0.0053
963 475000 0.004869
962 475000 0.004916
961 475000 0.004833
960 475000 0.006245
959 475000 0.005563
958 475000 0.00487
957 475000 0.005108
956 475000 0.005102
955 475000 0.004979
954 475000 0.004924
953 475000 0.004868
952 475000 0.004906
951 475000 0.006437
950 475000 0.005409
949 475000 0.004898
948 475000 0.005001
947 475000 0.00512
946 475000 0.00505
945 475000 0.004954
944 475000 0.004974
943 475000 0.005282
942 475000 0.006092
941 475000 0.005153
940 475000 0.00507
939 475000 0.004816
938 475000 0.005053
937 475000 0.005117
936 475000 0.004828
935 475000 0.004941
934 475000 0.00603
933 475000 0.005464
932 475000 0.005349
931 475000 0.005136
930 475000 0.005111
929 475000 0.004991
928 475000 0.004878
927 475000 0.004861
926 475000 0.005147
925 475000 0.006181
924 475000 0.005135
923 475000 0.004897
922 475000 0.005016
921 475000 0.005107
920 475000 0.005103
919 475000 0.005106
918 475000 0.005115
917 475000 0.00625
916 475000 0.005394
915 475000 0.004873
914 475000 0.004839
913 475000 0.004887
912 475000 0.004846
911 475000 0.004827
910 475000 0.004883
909 475000 0.00487
908 475000 0.005057
907 475000 0.004886
906 475000 0.004885
905 475000 0.004831
904 475000 0.004902
903 475000 0.004857
902 475000 0.004848
901 475000 0.004929
900 475000 0.004859
899 475000 0.004843
898 475000 0.004812
897 475000 0.004837
896 475000 0.004822
895 475000 0.004877
894 475000 0.004826
893 475000 0.004842
892 475000 0.004889
891 475000 0.004822
890 475000 0.004856
889 475000 0.004906
888 475000 0.004816
887 475000 0.004868
886 475000 0.004864
885 475000 0.004845
884 475000 0.004854
883 475000 0.004822
882 475000 0.004825
881 475000 0.004826
880 475000 0.004813
879 475000 0.004853
878 475000 0.004859
877 475000 0.004882
876 475000 0.004884
875 475000 0.004876
874 475000 0.00486
873 475000 0.004906
872 475000 0.004834
871 475000 0.006463
870 475000 0.005699
869 475000 0.004844
868 475000 0.004898
867 475000 0.004825
866 475000 0.005048
865 475000 0.005173
864 475000 0.004853
863 475000 0.004898
862 475000 0.004963
861 475000 0.005176
860 475000 0.005344
859 475000 0.004946
858 475000 0.004848
857 475000 0.00485
856 475000 0.004824
855 475000 0.004893
854 475000 0.004843
853 475000 0.005042
852 475000 0.005337
851 475000 0.004883
850 475000 0.004923
849 475000 0.00484
848 475000 0.004816
847 475000 0.004913
846 475000 0.004827
845 475000 0.004829
844 475000 0.005116
843 475000 0.005296
842 475000 0.004881
841 475000 0.004862
840 475000 0.004886
839 475000 0.004813
838 475000 0.004859
837 475000 0.004815
836 475000 0.004847
835 475000 0.005206
834 475000 0.005321
833 475000 0.004909
832 475000 0.004839
831 475000 0.004852
830 475000 0.004914
829 475000 0.004856
828 475000 0.004817
827 475000 0.004814
826 475000 0.005339
825 475000 0.005271
824 475000 0.004915
823 475000 0.004846
822 475000 0.004862
821 475000 0.004847
820 475000 0.004834
819 475000 0.004814
818 475000 0.004815
817 475000 0.0053
816 475000 0.005338
815 475000 0.004906
814 475000 0.004862
813 475000 0.004915
812 475000 0.004871
811 475000 0.004806
810 475000 0.004808
809 475000 0.004801
808 475000 0.005348
807 475000 0.005272
806 475000 0.00491
805 475000 0.004851
804 475000 0.004818
803 475000 0.004872
802 475000 0.004827
801 475000 0.004821
800 475000 0.004917
799 475000 0.005371
798 475000 0.005314
797 475000 0.004989
796 475000 0.00491
795 475000 0.004837
794 475000 0.004865
793 475000 0.004812
792 475000 0.004851
791 475000 0.006645
790 475000 0.007253
789 475000 0.006298
788 475000 0.004889
787 475000 0.004925
786 475000 0.00482
785 475000 0.004862
784 475000 0.00485
783 475000 0.004823
782 475000 0.004824
781 475000 0.005435
780 475000 0.005105
779 475000 0.004906
778 475000 0.004826
777 475000 0.004812
776 475000 0.004826
775 475000 0.004837
774 475000 0.004833
773 475000 0.004801
772 475000 0.005249
771 475000 0.005333
770 475000 0.004968
769 475000 0.004824
768 475000 0.004833
767 475000 0.004823
766 475000 0.004801
765 475000 0.004849
764 475000 0.004808
763 475000 0.005321
762 475000 0.005263
761 475000 0.004919
760 475000 0.004886
759 475000 0.004838
758 475000 0.004832
757 475000 0.004809
756 475000 0.004817
755 475000 0.004833
754 475000 0.005335
753 475000 0.005309
752 475000 0.004957
751 475000 0.004838
750 475000 0.0048
749 475000 0.004856
748 475000 0.00481
747 475000 0.004805
746 475000 0.004801
745 475000 0.005319
744 475000 0.005416
743 475000 0.004921
742 475000 0.004834
741 475000 0.004803
740 475000 0.004833
739 475000 0.004843
738 475000 0.004835
737 475000 0.0048
736 475000 0.005339
735 475000 0.005322
734 475000 0.004942
733 475000 0.004851
732 475000 0.004844
731 475000 0.00483
730 475000 0.004818
729 475000 0.004801
728 475000 0.004803
727 475000 0.005353
726 475000 0.005322
725 475000 0.004901
724 475000 0.005598
723 475000 0.005848
722 475000 0.00584
721 475000 0.005858
720 475000 0.005317
719 475000 0.005228
718 475000 0.005337
717 475000 0.004875
716 475000 0.004804
715 475000 0.004847
714 475000 0.004826
713 475000 0.004825
712 475000 0.004818
711 475000 0.004813
710 475000 0.005268
709 475000 0.005365
708 475000 0.00496
707 475000 0.004893
706 475000 0.004843
705 475000 0.004819
704 475000 0.004806
703 475000 0.004807
702 475000 0.004849
701 475000 0.005375
700 475000 0.005341
699 475000 0.004962
698 475000 0.004819
697 475000 0.004826
696 475000 0.004839
695 475000 0.004813
694 475000 0.004856
693 475000 0.004818
692 475000 0.0051
691 475000 0.005423
690 475000 0.004943
689 475000 0.004835
688 475000 0.004869
687 475000 0.00482
686 475000 0.004832
685 475000 0.004833
684 475000 0.004856
683 475000 0.005293
682 475000 0.005382
681 475000 0.004914
680 475000 0.004885
679 475000 0.004831
678 475000 0.004811
677 475000 0.004866
676 475000 0.004814
675 475000 0.004799
674 475000 0.005055
673 475000 0.00536
672 475000 0.004911
671 475000 0.004897
670 475000 0.004811
669 475000 0.004863
668 475000 0.004868
667 475000 0.004833
666 475000 0.004815
665 475000 0.005104
664 475000 0.005302
663 475000 0.004956
662 475000 0.00483
661 475000 0.004834
660 475000 0.004836
659 475000 0.00483
658 475000 0.004816
657 475000 0.004807
656 475000 0.005213
655 475000 0.005344
654 475000 0.00494
653 475000 0.004857
652 475000 0.004815
651 475000 0.004831
650 475000 0.004842
649 475000 0.004825
648 475000 0.004811
647 475000 0.005203
646 475000 0.005241
645 475000 0.004929
644 475000 0.004857
643 475000 0.004832
642 475000 0.004827
641 475000 0.004845
640 475000 0.004826
639 475000 0.004807
638 475000 0.005302
637 475000 0.00534
636 475000 0.004942
635 475000 0.004824
634 475000 0.00481
633 475000 0.004837
632 475000 0.004838
631 475000 0.004825
630 475000 0.004832
629 475000 0.005311
628 475000 0.005326
627 475000 0.004944
626 475000 0.004809
625 475000 0.004802
624 475000 0.004852
623 475000 0.004854
622 475000 0.004803
621 475000 0.004846
620 475000 0.00534
619 475000 0.005468
618 475000 0.004911
617 475000 0.004828
616 475000 0.004833
615 475000 0.00485
614 475000 0.00483
613 475000 0.004824
612 475000 0.00482
611 475000 0.005312
610 475000 0.005306
609 475000 0.004904
608 475000 0.004821
607 475000 0.00483
606 475000 0.004828
605 475000 0.004817
604 475000 0.004819
603 475000 0.004818
602 475000 0.005329
601 475000 0.005338
600 475000 0.004943
599 475000 0.004865
598 475000 0.004806
597 475000 0.004847
596 475000 0.004823
595 475000 0.004833
594 475000 0.004791
593 475000 0.005311
592 475000 0.005317
591 475000 0.004946
590 475000 0.004858
589 475000 0.00484
588 475000 0.004866
587 475000 0.004837
586 475000 0.00483
585 475000 0.00482
584 475000 0.005323
583 475000 0.005299
582 475000 0.004941
581 475000 0.004814
580 475000 0.004833
579 475000 0.00486
578 475000 0.004859
577 475000 0.004823
576 475000 0.004826
575 475000 0.005324
574 475000 0.005312
573 475000 0.004963
572 475000 0.004868
571 475000 0.004826
570 475000 0.00484
569 475000 0.004817
568 475000 0.004826
567 475000 0.004801
566 475000 0.005331
565 475000 0.005331
564 475000 0.004881
563 475000 0.004878
562 475000 0.004814
561 475000 0.004824
560 475000 0.004847
559 475000 0.004818
558 475000 0.0048
557 475000 0.005308
556 475000 0.005352
555 475000 0.00494
554 475000 0.004827
553 475000 0.004805
552 475000 0.004845
551 475000 0.004809
550 475000 0.00482
549 475000 0.004808
548 475000 0.005319
547 475000 0.005313
546 475000 0.004949
545 475000 0.004833
544 475000 0.004813
543 475000 0.00482
542 475000 0.004813
541 475000 0.004838
540 475000 0.00481
539 475000 0.005316
538 475000 0.005308
537 475000 0.004955
536 475000 0.004845
535 475000 0.00482
534 475000 0.004833
533 475000 0.004805
532 475000 0.004815
531 475000 0.004825
530 475000 0.00536
529 475000 0.005333
528 475000 0.004947
527 475000 0.004858
526 475000 0.004851
525 475000 0.00482
524 475000 0.004818
523 475000 0.004821
522 475000 0.004807
521 475000 0.005315
520 475000 0.005343
519 475000 0.004922
518 475000 0.004847
517 475000 0.00483
516 475000 0.004825
515 475000 0.004829
514 475000 0.004843
513 475000 0.004834
512 475000 0.005298
511 475000 0.005298
510 475000 0.004951
509 475000 0.004839
508 475000 0.004841
507 475000 0.004859
506 475000 0.004811
505 475000 0.00482
504 475000 0.004804
503 475000 0.005351
502 475000 0.005304
501 475000 0.004923
500 475000 0.004859
499 475000 0.004835
498 475000 0.004869
497 475000 0.004809
496 475000 0.004828
495 475000 0.004813
494 475000 0.005309
493 475000 0.005331
492 475000 0.004947
491 475000 0.004826
490 475000 0.004824
489 475000 0.004846
488 475000 0.00481
487 475000 0.006102
486 475000 0.006812
485 475000 0.007061
484 475000 0.004941
483 475000 0.004855
482 475000 0.004806
481 475000 0.004812
480 475000 0.004837
479 475000 0.004839
478 475000 0.004867
477 475000 0.005382
476 475000 0.005134
475 475000 0.004879
474 475000 0.004815
473 475000 0.004832
472 475000 0.004904
471 475000 0.004855
470 475000 0.004808
469 475000 0.005045
468 475000 0.005314
467 475000 0.004965
466 475000 0.004909
465 475000 0.004905
464 475000 0.004823
463 475000 0.004839
462 475000 0.004814
461 475000 0.004808
460 475000 0.005181
459 475000 0.005279
458 475000 0.004959
457 475000 0.005027
456 475000 0.004812
455 475000 0.00482
454 475000 0.004818
453 475000 0.004812
452 475000 0.004807
451 475000 0.005322
450 475000 0.005311
449 475000 0.004901
448 475000 0.004812
447 475000 0.004811
446 475000 0.00482
445 475000 0.004824
444 475000 0.004808
443 475000 0.004828
442 475000 0.005318
441 475000 0.00533
440 475000 0.004945
439 475000 0.004807
438 475000 0.004817
437 475000 0.004834
436 475000 0.004816
435 475000 0.004825
434 475000 0.004815
433 475000 0.005351
432 475000 0.005296
431 475000 0.004929
430 475000 0.004815
429 475000 0.004819
428 475000 0.004842
427 475000 0.004809
426 475000 0.004813
425 475000 0.004831
424 475000 0.005323
423 475000 0.005366
422 475000 0.004941
421 475000 0.004811
420 475000 0.004816
419 475000 0.004854
418 475000 0.004803
417 475000 0.004807
416 475000 0.004826
415 475000 0.005316
414 475000 0.005319
413 475000 0.004958
412 475000 0.004805
411 475000 0.004815
410 475000 0.004831
409 475000 0.004821
408 475000 0.004806
407 475000 0.004834
406 475000 0.005323
405 475000 0.00532
404 475000 0.00491
403 475000 0.00486
402 475000 0.004806
401 475000 0.004838
400 475000 0.004806
399 475000 0.004823
398 475000 0.004834
397 475000 0.005323
396 475000 0.005352
395 475000 0.004902
394 475000 0.004845
393 475000 0.004818
392 475000 0.00483
391 475000 0.004826
390 475000 0.004803
389 475000 0.004804
388 475000 0.005296
387 475000 0.00542
386 475000 0.004968
385 475000 0.00482
384 475000 0.00481
383 475000 0.004877
382 475000 0.004923
381 475000 0.004835
380 475000 0.004825
379 475000 0.005336
378 475000 0.005239
377 475000 0.004918
376 475000 0.004861
375 475000 0.004815
374 475000 0.004833
373 475000 0.004824
372 475000 0.004802
371 475000 0.004879
370 475000 0.005355
369 475000 0.00529
368 475000 0.004936
367 475000 0.004854
366 475000 0.004827
365 475000 0.004843
364 475000 0.004826
363 475000 0.00481
362 475000 0.004811
361 475000 0.005328
360 475000 0.005395
359 475000 0.004924
358 475000 0.004826
357 475000 0.004831
356 475000 0.004823
355 475000 0.004845
354 475000 0.004807
353 475000 0.004796
352 475000 0.00532
351 475000 0.005315
350 475000 0.004933
349 475000 0.004835
348 475000 0.004834
347 475000 0.004822
346 475000 0.004819
345 475000 0.004821
344 475000 0.004831
343 475000 0.005324
342 475000 0.005306
341 475000 0.004937
340 475000 0.004833
339 475000 0.004814
338 475000 0.004839
337 475000 0.004832
336 475000 0.004803
335 475000 0.00482
334 475000 0.005316
333 475000 0.005356
332 475000 0.004939
331 475000 0.004837
330 475000 0.004826
329 475000 0.004863
328 475000 0.004807
327 475000 0.004803
326 475000 0.004857
325 475000 0.005336
324 475000 0.005292
323 475000 0.004988
322 475000 0.004836
321 475000 0.004827
320 475000 0.004828
319 475000 0.004827
318 475000 0.004819
317 475000 0.004805
316 475000 0.00534
315 475000 0.005359
314 475000 0.004924
313 475000 0.004824
312 475000 0.004807
311 475000 0.004854
310 475000 0.004827
309 475000 0.004826
308 475000 0.004841
307 475000 0.005313
306 475000 0.005354
305 475000 0.004906
304 475000 0.004822
303 475000 0.004856
302 475000 0.004831
301 475000 0.004803
300 475000 0.00483
299 475000 0.004823
298 475000 0.005311
297 475000 0.005317
296 475000 0.004939
295 475000 0.00483
294 475000 0.00487
293 475000 0.004819
292 475000 0.004813
291 475000 0.004808
290 475000 0.004814
289 475000 0.005338
288 475000 0.005294
287 475000 0.004924
286 475000 0.004848
285 475000 0.004825
284 475000 0.004843
283 475000 0.00481
