k nbComp temps
85 5908 0.000139
84 5908 0.000118
83 5908 0.000116
82 5908 0.000117
81 5908 0.000116
80 5908 0.000122
79 5908 0.000116
78 5908 0.000116
77 5908 0.000114
76 7978 0.00015
75 10048 0.000181
74 12118 0.000214
73 14188 0.000245
72 16258 0.000276
71 18328 0.000307
70 20398 0.00034
69 22468 0.000371
68 24538 0.000404
67 26608 0.000436
66 28678 0.000467
65 30748 0.000504
64 32818 0.000532
63 34888 0.000563
62 69499 0.001075
61 105223 0.001606
60 189449 0.002838
59 227215 0.003403
58 266098 0.003972
57 306098 0.004824
56 347215 0.00829
55 389449 0.007677
54 1223663 0.020277
53 2102345 0.033023
52 9868693 0.147664
51 10826400 0.16122
50 11831742 0.191293
49 12885812 0.196778
48 13989775 0.212396
47 15144724 0.224383
46 16351707 0.241237
45 17611977 0.259206
44 18926584 0.286567
43 20296645 0.297795
42 21723277 0.318944
41 23207597 0.34841
40 24750722 0.365545
39 32601406 0.485233
38 40879863 0.596089
37 49601391 0.736487
36 58781548 0.853451
35 68436105 1.05201
34 78581294 1.15067
33 1280221120 18.5901
32 1428385499 27.8936
31 1523684800 25.3058
30 3801825914 54.255
29 1964971318 96.2904
28 3885592585 112.335
27 2170314043 150.597
26 660173377 202.276
