k nbComp temps
85 5908 0.000265
84 5908 0.000252
83 5908 0.000248
82 5908 0.000246
81 5908 0.000244
80 5908 0.000248
79 5908 0.000244
78 5908 0.000246
77 5908 0.000246
76 6505 0.000272
75 7102 0.0003
74 7699 0.000334
73 8296 0.000355
72 8893 0.000381
71 9490 0.000405
70 10087 0.000432
69 10684 0.000467
68 11281 0.000494
67 11878 0.000515
66 12475 0.000547
65 13072 0.000527
64 13669 0.000548
63 14266 0.000576
62 41137 0.001659
61 68605 0.002789
60 52444 0.002157
59 56621 0.00234
58 60803 0.002461
57 64990 0.002549
56 69182 0.002699
55 73379 0.002894
54 259055 0.009597
53 448938 0.015814
52 2147482 0.06454
51 2298206 0.054722
50 2453152 0.04942
49 2609553 0.047829
48 2772714 0.049415
47 2934686 0.05092
46 3106066 0.05345
45 3281723 0.064922
44 3461624 0.059125
43 3645774 0.063693
42 3834178 0.06883
41 4026841 0.069839
40 4223768 0.072994
39 9473296 0.163579
38 14928294 0.254081
37 20593041 0.352059
36 26471821 0.458794
35 32418636 0.552832
34 38704005 0.660376
33 679607034 11.839
32 753750297 13.0379
31 835142539 14.1811
30 1301517457 24.1713
29 1736295401 33.8324
28 2227874229 43.4409
27 2754028925 53.7028
26 3312398947 63.6937
25 3904443311 75.1508 
