k nbComp temps
85 2 4.6e-05
84 2 3.9e-05
83 2 3.7e-05
82 62 3.7e-05
81 62 3.7e-05
80 62 3.6e-05
79 62 3.6e-05
78 62 3.5e-05
77 74 3.7e-05
76 78 4e-05
75 82 4.4e-05
74 86 4.6e-05
73 90 5e-05
72 94 5.3e-05
71 133 5.9e-05
70 137 6.2e-05
69 141 6.5e-05
68 145 6.8e-05
67 149 7.2e-05
66 153 7.4e-05
65 321 8.2e-05
64 325 8.5e-05
63 354 9e-05
62 1338 0.000262
61 2927 0.00045
60 3982 0.000416
59 4403 0.000458
58 4829 0.000497
57 5260 0.000553
56 5696 0.000575
55 6137 0.000625
54 22464 0.002163
53 39242 0.003738
52 168054 0.016729
51 181503 0.021277
50 195418 0.019323
49 204208 0.022367
48 218598 0.023565
47 231020 0.023164
46 246195 0.026418
45 261883 0.025826
44 278051 0.028991
43 294704 0.031446
42 311847 0.030676
41 329485 0.033138
40 347623 0.033572
39 772554 0.077748
38 1216638 0.123321
37 1680390 0.170359
36 2164330 0.205607
35 2654597 0.249039
34 3307028 0.297404
33 56475837 5.11856
32 63568809 5.6619
31 68280678 6.26869
30 108261005 11.3922
29 220158727 17.1577
28 297632441 23.0851
27 380672504 29.0275
26 469212652 34.9972
25 563528542 42.0875
