k nbComp temps
85 5908 9.3e-05
84 5908 6.1e-05
83 5908 5.7e-05
82 5908 5.6e-05
81 5908 5.4e-05
80 5908 5.5e-05
79 5908 5.3e-05
78 5908 5.5e-05
77 5908 5.3e-05
76 5908 5.3e-05
75 5908 5.2e-05
74 5908 5.4e-05
73 5908 5.2e-05
72 5908 5.2e-05
71 5908 5.1e-05
70 5908 5.3e-05
69 5908 5.2e-05
68 5908 5.3e-05
67 5908 5.1e-05
66 5908 5.2e-05
65 5908 5e-05
64 5908 5.2e-05
63 5908 5.1e-05
62 5908 5e-05
61 5908 5.2e-05
60 5908 5e-05
59 5908 5e-05
58 5908 5.1e-05
57 5908 5.2e-05
56 5908 5e-05
55 5908 5.2e-05
54 5908 5.1e-05
53 5908 5.2e-05
52 5908 5.1e-05
51 5908 5.2e-05
50 5908 5e-05
49 5908 5.2e-05
48 5908 5.1e-05
47 5908 5.2e-05
46 5908 5e-05
45 5908 5.2e-05
44 5908 5e-05
43 5908 5.1e-05
42 5908 5e-05
41 11620 8.5e-05
40 17332 0.000114
39 23044 0.000147
38 28756 0.000176
37 34468 0.000208
36 40180 0.000237
35 45892 0.00027
34 51604 0.0003
33 204717 0.001105
32 360237 0.001894
31 518164 0.002707
30 5746411 0.035267
29 11135980 0.061089
28 16690790 0.087929
27 22413103 0.124705
26 28305325 0.147905
25 34369862 0.190918
24 82811921 0.418232
23 134676575 0.679032
22 187257446 0.926008
21 241989624 1.21137
20 212599688 1.04912
19 450574934 2.21261
18 492178373 2.42452
17 535439545 2.61443
16 580402294 2.843
15 627111040 3.09123
14 675610779 3.27938
13 711601417 3.46813
12 2748386186 74.3892 
